,topics,project_name,useful_lines_of_code_(uloc),duplicate_uloc,architecture_type,core,core_size,central_size,propagation_cost,percent_files_overly_complex,useful_comment_density,percent_duplicate_uloc,overall_score,architecture_score,clarity_score,complexity_score,explanation,benchmark_selection,benchmark_count
21,"['imgui', 'gui', 'gamedev', 'tools', 'ui', 'toolkit', 'native']",ocornut/imgui,27657,1536,Core-Periphery,True,11.8,41.2,14.295,4.4,42.3,5.553747694977764,3.29,1.27,0.92,1.1,"{'useful_comment_density': 'useful_comment_density percentile: 92.1875(+0.921875)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 46.09375(+0.5390625)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 43.75(+0.5625)', 'propagation_cost': 'propagation_cost percentile: 31.25(+0.6875)', 'core_size': 'core_size percentile: 42.1875(+0.578125)'}",LOC,128
22,"['cocos2d', 'cocos2d-x', 'cocos2d-js', 'cocos2d-html5', 'game-engine', 'c-plus-plus', 'lua', 'javascript']",cocos2d/cocos2d-x,459484,89740,Core-Periphery,True,18.8,22.8,20.783,12.7,12.0,19.530603894803736,2.11,1.37,0.12,0.62,"{'useful_comment_density': 'useful_comment_density percentile: 12.5(+0.125)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 79.16666666666667(+0.2083333333333333)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 58.333333333333336(+0.41666666666666663)', 'propagation_cost': 'propagation_cost percentile: 33.333333333333336(+0.6666666666666665)', 'core_size': 'core_size percentile: 29.166666666666668(+0.7083333333333333)'}",LOC,48
23,"['cpp11', 'http', 'ftp', 'sftp', 'bittorrent', 'rpc', 'download', 'metalink']",aria2/aria2,80067,2927,Core-Periphery,True,8.2,25.5,13.251,3.8,12.2,3.6556883609976643,3.04,1.31,0.18,1.55,"{'useful_comment_density': 'useful_comment_density percentile: 17.692307692307693(+0.17692307692307693)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 29.23076923076923(+0.7076923076923077)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 16.153846153846153(+0.8384615384615384)', 'propagation_cost': 'propagation_cost percentile: 36.15384615384615(+0.6384615384615384)', 'core_size': 'core_size percentile: 33.07692307692308(+0.6692307692307692)'}",LOC,130
24,[],facebook/rocksdb,193980,17551,Core-Periphery,True,37.0,7.1,38.043,11.5,24.6,9.047839983503454,1.8,0.5,0.48,0.82,"{'useful_comment_density': 'useful_comment_density percentile: 47.61904761904762(+0.4761904761904762)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 68.57142857142857(+0.3142857142857143)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 49.523809523809526(+0.5047619047619047)', 'propagation_cost': 'propagation_cost percentile: 75.23809523809524(+0.2476190476190476)', 'core_size': 'core_size percentile: 74.28571428571429(+0.25714285714285706)'}",LOC,105
26,"['apollo', 'autonomous-vehicles', 'autonomous-driving', 'autonomy', 'self-driving-car']",ApolloAuto/apollo,247024,23244,Core-Periphery,True,8.0,26.4,8.631,2.9,20.0,9.409612021503984,3.45,1.67,0.32,1.46,"{'useful_comment_density': 'useful_comment_density percentile: 31.95876288659794(+0.31958762886597936)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 9.278350515463918(+0.9072164948453608)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 44.329896907216494(+0.5567010309278351)', 'propagation_cost': 'propagation_cost percentile: 16.49484536082474(+0.8350515463917526)', 'core_size': 'core_size percentile: 16.49484536082474(+0.8350515463917526)'}",LOC,97
27,[],facebook/folly,191555,15057,Core-Periphery,True,24.6,22.5,26.642,2.7,25.1,7.86040562762653,2.94,0.89,0.51,1.54,"{'useful_comment_density': 'useful_comment_density percentile: 50.943396226415096(+0.5094339622641509)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 6.60377358490566(+0.9339622641509433)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 39.62264150943396(+0.6037735849056604)', 'propagation_cost': 'propagation_cost percentile: 53.77358490566038(+0.46226415094339623)', 'core_size': 'core_size percentile: 57.54716981132076(+0.4245283018867924)'}",LOC,106
28,['jpeg-encoder'],google/guetzli,6299,126,Core-Periphery,True,6.1,34.7,12.953,6.1,15.3,2.0003175107159867,2.57,1.27,0.42,0.88,"{'useful_comment_density': 'useful_comment_density percentile: 42.5(+0.425)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 76.25(+0.2375)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 36.25(+0.6375)', 'propagation_cost': 'propagation_cost percentile: 30.0(+0.7)', 'core_size': 'core_size percentile: 42.5(+0.575)'}",LOC,80
29,"['cross-platform', 'log', 'network', 'wechat']",Tencent/mars,301667,71889,Core-Periphery,True,28.4,36.7,26.878,3.0,25.2,23.830581402672482,2.52,0.9,0.52,1.1,"{'useful_comment_density': 'useful_comment_density percentile: 51.851851851851855(+0.5185185185185186)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 11.728395061728396(+0.8827160493827161)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 77.77777777777777(+0.2222222222222223)', 'propagation_cost': 'propagation_cost percentile: 51.851851851851855(+0.48148148148148145)', 'core_size': 'core_size percentile: 58.02469135802469(+0.4197530864197531)'}",LOC,81
30,"['javascript-engine', 'virtual-machine', 'compiler', 'interpreter', 'javascript']",v8/v8,951015,99164,Core-Periphery,True,48.5,48.5,47.016999999999996,14.5,11.0,10.427175175996172,1.44,0.32,0.08,1.04,"{'useful_comment_density': 'useful_comment_density percentile: 8.0(+0.08)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 76.0(+0.24)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 20.0(+0.8)', 'propagation_cost': 'propagation_cost percentile: 84.0(+0.16)', 'core_size': 'core_size percentile: 84.0(+0.16)'}",NEAREST,25
31,[],facebook/yoga,26948,7176,Core-Periphery,True,15.3,20.2,12.364,1.8,6.8,26.629063381327,2.31,1.32,0.07,0.92,"{'useful_comment_density': 'useful_comment_density percentile: 7.142857142857143(+0.07142857142857144)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 18.253968253968253(+0.8174603174603174)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 89.68253968253968(+0.10317460317460317)', 'propagation_cost': 'propagation_cost percentile: 23.015873015873016(+0.7698412698412699)', 'core_size': 'core_size percentile: 45.23809523809524(+0.5476190476190476)'}",LOC,126
