,topics,project_name,useful_lines_of_code_(uloc),duplicate_uloc,architecture_type,core,core_size,central_size,propagation_cost,percent_files_overly_complex,useful_comment_density,percent_duplicate_uloc,overall_score,architecture_score,clarity_score,complexity_score,explanation,benchmark_selection,benchmark_count
22,[],nostra13/Android-Universal-Image-Loader,5879,130,Core-Periphery,True,26.1,26.1,38.196999999999996,4.5,50.3,2.21126041843851,2.18,0.27,0.99,0.92,"{'useful_comment_density': 'useful_comment_density percentile: 98.9010989010989(+0.989010989010989)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 76.92307692307692(+0.2307692307692308)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 30.76923076923077(+0.6923076923076923)', 'propagation_cost': 'propagation_cost percentile: 87.36263736263736(+0.12637362637362642)', 'core_size': 'core_size percentile: 85.16483516483517(+0.14835164835164832)'}",LOC,182
23,[],square/picasso,7906,103,Core-Periphery,True,45.2,46.6,47.382,12.3,7.6,1.3028079939286616,1.24,0.16,0.18,0.9,"{'useful_comment_density': 'useful_comment_density percentile: 18.0327868852459(+0.18032786885245902)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 96.72131147540983(+0.032786885245901655)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 13.66120218579235(+0.8633879781420766)', 'propagation_cost': 'propagation_cost percentile: 91.80327868852459(+0.08196721311475415)', 'core_size': 'core_size percentile: 92.34972677595628(+0.07650273224043716)'}",LOC,183
24,[],Netflix/Hystrix,41036,7834,Core-Periphery,True,21.2,13.4,23.773000000000003,4.6,19.8,19.090554634954675,1.79,0.62,0.72,0.45,"{'useful_comment_density': 'useful_comment_density percentile: 71.69811320754717(+0.7169811320754716)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 62.893081761006286(+0.37106918238993714)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 92.45283018867924(+0.07547169811320757)', 'propagation_cost': 'propagation_cost percentile: 67.9245283018868(+0.32075471698113206)', 'core_size': 'core_size percentile: 69.81132075471699(+0.3018867924528301)'}",LOC,159
25,"['recyclerview', 'recyclerview-adapter', 'recyclerview-item-animation', 'android', 'android-library']",CymChad/BaseRecyclerViewAdapterHelper,4788,168,Core-Periphery,True,6.3,16.8,13.474,1.1,22.6,3.508771929824561,3.13,1.29,0.68,1.16,"{'useful_comment_density': 'useful_comment_density percentile: 68.42105263157895(+0.6842105263157895)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 33.421052631578945(+0.6657894736842106)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 50.526315789473685(+0.49473684210526314)', 'propagation_cost': 'propagation_cost percentile: 30.526315789473685(+0.6947368421052631)', 'core_size': 'core_size percentile: 40.526315789473685(+0.5947368421052631)'}",LOC,190
26,"['fastjson', 'java', 'android', 'json', 'json-parser', 'json-serialization', 'json-serializer', 'serialization', 'deserialization', 'best-performance']",alibaba/fastjson,131541,21826,Hierarchical,False,3.3,83.3,4.441,1.2,4.7,16.592545290061654,2.83,1.63,0.03,1.17,"{'useful_comment_density': 'useful_comment_density percentile: 3.488372093023256(+0.03488372093023256)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 3.488372093023256(+0.9651162790697674)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 79.06976744186046(+0.20930232558139536)', 'propagation_cost': 'propagation_cost percentile: 12.790697674418604(+0.872093023255814)', 'core_size': 'core_size percentile: 24.41860465116279(+0.7558139534883721)'}",LOC,86
27,"['refreshlayout', 'overscroll', 'pull-to-refresh', 'pulltorefresh', 'android', 'android-ui', 'header', 'footer']",scwang90/SmartRefreshLayout,15497,1364,Core-Periphery,True,7.6,35.2,14.378,1.4,19.0,8.801703555526876,2.64,1.0,0.66,0.98,"{'useful_comment_density': 'useful_comment_density percentile: 65.929203539823(+0.6592920353982301)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 26.991150442477878(+0.7300884955752213)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 75.22123893805309(+0.24778761061946908)', 'propagation_cost': 'propagation_cost percentile: 49.11504424778761(+0.5088495575221239)', 'core_size': 'core_size percentile: 51.32743362831859(+0.48672566371681414)'}",LOC,226
28,[],facebook/fresco,69240,3809,Borderline Core-Periphery,True,5.4,22.6,9.158,5.4,16.8,5.501155401502022,2.96,1.4,0.57,0.99,"{'useful_comment_density': 'useful_comment_density percentile: 57.142857142857146(+0.5714285714285715)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 55.46218487394958(+0.4453781512605042)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 45.378151260504204(+0.5462184873949579)', 'propagation_cost': 'propagation_cost percentile: 28.571428571428573(+0.7142857142857143)', 'core_size': 'core_size percentile: 31.092436974789916(+0.6890756302521008)'}",LOC,119
29,"['libgdx', 'java', 'game', 'cross-platform', 'android', 'ios', 'html5', 'windows', 'linux', 'macosx', '2d', '3d', 'framework']",libgdx/libgdx,226803,30470,Core-Periphery,True,9.9,26.0,14.405,7.4,17.1,13.434566562170694,1.97,0.87,0.48,0.62,"{'useful_comment_density': 'useful_comment_density percentile: 48.07692307692308(+0.4807692307692308)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 73.07692307692308(+0.2692307692307692)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 65.38461538461539(+0.34615384615384615)', 'propagation_cost': 'propagation_cost percentile: 57.69230769230769(+0.4230769230769231)', 'core_size': 'core_size percentile: 55.76923076923077(+0.44230769230769235)'}",LOC,52
31,[],google/gson,20769,1270,Core-Periphery,True,16.5,51.9,22.679000000000002,4.9,17.5,6.11488275795657,1.84,0.59,0.59,0.66,"{'useful_comment_density': 'useful_comment_density percentile: 59.11330049261084(+0.5911330049261084)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 74.63054187192118(+0.2536945812807882)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 59.60591133004926(+0.4039408866995074)', 'propagation_cost': 'propagation_cost percentile: 68.96551724137932(+0.31034482758620685)', 'core_size': 'core_size percentile: 71.92118226600985(+0.28078817733990147)'}",LOC,203
32,[],alibaba/druid,249643,33458,Core-Periphery,True,19.0,73.8,21.006,2.4,3.2,13.40233853943431,1.67,0.51,0.02,1.14,"{'useful_comment_density': 'useful_comment_density percentile: 2.3255813953488373(+0.023255813953488372)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 18.6046511627907(+0.813953488372093)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 67.44186046511628(+0.32558139534883723)', 'propagation_cost': 'propagation_cost percentile: 74.4186046511628(+0.25581395348837205)', 'core_size': 'core_size percentile: 74.4186046511628(+0.25581395348837205)'}",LOC,43
34,"['android', 'dynamic', 'hotfix', 'wechat']",Tencent/tinker,25779,1584,Core-Periphery,True,7.7,24.9,12.914000000000001,5.2,13.2,6.144536250436402,2.2,1.04,0.44,0.72,"{'useful_comment_density': 'useful_comment_density percentile: 44.26229508196721(+0.4426229508196721)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 71.5846994535519(+0.28415300546448097)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 56.830601092896174(+0.4316939890710383)', 'propagation_cost': 'propagation_cost percentile: 46.994535519125684(+0.5300546448087432)', 'core_size': 'core_size percentile: 49.18032786885246(+0.5081967213114754)'}",LOC,183
35,"['android-cleanarchitecture', 'architectural', 'java', 'android-application', 'android', 'android-development', 'android-architecture']",android10/Android-CleanArchitecture,2276,42,Core-Periphery,True,8.6,18.5,14.708,0.0,12.8,1.845342706502636,3.1,1.33,0.53,1.24,"{'useful_comment_density': 'useful_comment_density percentile: 53.26086956521739(+0.532608695652174)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 26.630434782608695(+0.7336956521739131)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 48.91304347826087(+0.5108695652173914)', 'propagation_cost': 'propagation_cost percentile: 20.108695652173914(+0.798913043478261)', 'core_size': 'core_size percentile: 46.73913043478261(+0.532608695652174)'}",LOC,184
36,"['selenium', 'webdriver', 'java', 'ruby', 'python', 'javascript', 'dotnet']",SeleniumHQ/selenium,82533,1910,Hierarchical,False,2.1,19.3,7.9639999999999995,3.6,10.3,2.3142258248215866,3.48,1.59,0.29,1.6,"{'useful_comment_density': 'useful_comment_density percentile: 28.8659793814433(+0.288659793814433)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 34.02061855670103(+0.6597938144329896)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 6.185567010309279(+0.9381443298969071)', 'propagation_cost': 'propagation_cost percentile: 26.804123711340207(+0.7319587628865979)', 'core_size': 'core_size percentile: 14.43298969072165(+0.8556701030927835)'}",LOC,97
39,"['android', 'mediaplayer', 'java', 'exoplayer']",google/ExoPlayer,110126,5458,Core-Periphery,True,35.6,5.9,37.534,11.1,25.6,4.956141147412963,1.78,0.24,0.69,0.85,"{'useful_comment_density': 'useful_comment_density percentile: 68.93203883495146(+0.6893203883495146)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 87.37864077669903(+0.1262135922330097)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 27.184466019417474(+0.7281553398058253)', 'propagation_cost': 'propagation_cost percentile: 86.40776699029126(+0.13592233009708735)', 'core_size': 'core_size percentile: 89.32038834951456(+0.1067961165048544)'}",LOC,103
40,"['continuous-integration', 'continuous-delivery', 'continuous-deployment', 'java', 'groovy', 'jenkins', 'pipelines-as-code', 'devops', 'hacktoberfest', 'cicd']",jenkinsci/jenkins,129359,2698,Core-Periphery,True,36.1,39.2,38.058,5.1,27.0,2.085668565774318,2.41,0.22,0.71,1.48,"{'useful_comment_density': 'useful_comment_density percentile: 70.78651685393258(+0.7078651685393258)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 47.19101123595506(+0.5280898876404494)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 4.49438202247191(+0.9550561797752809)', 'propagation_cost': 'propagation_cost percentile: 88.76404494382022(+0.11235955056179776)', 'core_size': 'core_size percentile: 88.76404494382022(+0.11235955056179776)'}",LOC,89
44,[],greenrobot/greenDAO,15741,870,Core-Periphery,True,9.4,21.7,19.345,2.5,10.7,5.526967791118734,2.12,0.79,0.33,1.0,"{'useful_comment_density': 'useful_comment_density percentile: 33.03964757709251(+0.33039647577092507)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 45.59471365638767(+0.5440528634361234)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 54.18502202643172(+0.4581497797356828)', 'propagation_cost': 'propagation_cost percentile: 61.67400881057269(+0.3832599118942731)', 'core_size': 'core_size percentile: 59.030837004405285(+0.40969162995594716)'}",LOC,227
45,[],daimajia/AndroidSwipeLayout,2123,114,Core-Periphery,True,9.1,27.3,23.76,4.5,6.0,5.3697597739048515,1.65,0.93,0.24,0.48,"{'useful_comment_density': 'useful_comment_density percentile: 24.293785310734464(+0.24293785310734464)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 76.8361581920904(+0.23163841807909605)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 75.14124293785311(+0.24858757062146894)', 'propagation_cost': 'propagation_cost percentile: 57.06214689265537(+0.4293785310734463)', 'core_size': 'core_size percentile: 50.282485875706215(+0.4971751412429379)'}",LOC,177
46,[],signalapp/Signal-Android,79878,2248,Core-Periphery,True,59.1,59.1,57.202,6.7,4.0,2.814291794987356,1.27,0.02,0.02,1.23,"{'useful_comment_density': 'useful_comment_density percentile: 1.9607843137254901(+0.0196078431372549)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 65.68627450980392(+0.3431372549019608)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 11.764705882352942(+0.8823529411764706)', 'propagation_cost': 'propagation_cost percentile: 99.01960784313725(+0.009803921568627487)', 'core_size': 'core_size percentile: 99.01960784313725(+0.009803921568627487)'}",LOC,102
47,"['android', 'java', 'androidannotations', 'annotation-processor']",androidannotations/androidannotations,31722,1117,Hierarchical,False,1.9,26.3,4.243,1.1,17.1,3.521215560179056,3.73,1.64,0.52,1.57,"{'useful_comment_density': 'useful_comment_density percentile: 52.25806451612903(+0.5225806451612903)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 14.193548387096774(+0.8580645161290323)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 28.387096774193548(+0.7161290322580645)', 'propagation_cost': 'propagation_cost percentile: 12.258064516129032(+0.8774193548387097)', 'core_size': 'core_size percentile: 23.870967741935484(+0.7612903225806451)'}",LOC,155
48,[],facebook/stetho,15100,689,Core-Periphery,True,6.2,19.4,10.148,1.9,11.2,4.562913907284768,2.72,1.23,0.33,1.16,"{'useful_comment_density': 'useful_comment_density percentile: 33.482142857142854(+0.33482142857142855)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 37.5(+0.625)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 46.42857142857143(+0.5357142857142857)', 'propagation_cost': 'propagation_cost percentile: 32.589285714285715(+0.6741071428571428)', 'core_size': 'core_size percentile: 44.19642857142857(+0.5580357142857143)'}",LOC,224
