,topics,project_name,useful_lines_of_code_(uloc),duplicate_uloc,architecture_type,core,core_size,central_size,propagation_cost,percent_files_overly_complex,useful_comment_density,percent_duplicate_uloc,overall_score,architecture_score,clarity_score,complexity_score,explanation,benchmark_selection,benchmark_count
422,[],TestStack/White,16127,377,Core-Periphery,True,32.9,34.6,29.668000000000003,0.3,12.7,2.3376945495132384,2.2,0.26,0.24,1.7,"{'useful_comment_density': 'useful_comment_density percentile: 24.137931034482758(+0.24137931034482757)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 4.310344827586207(+0.9568965517241379)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 25.862068965517242(+0.7413793103448276)', 'propagation_cost': 'propagation_cost percentile: 83.9080459770115(+0.16091954022988503)', 'core_size': 'core_size percentile: 90.22988505747126(+0.09770114942528735)'}",LOC,174
507,"['notebook', 'fan-control', 'c-sharp', 'linux', 'windows', 'dotnet', 'mono']",hirschmann/nbfc,17505,1446,Hierarchical,False,3.1,35.0,3.33,3.1,4.9,8.260497000856898,2.36,1.57,0.04,0.75,"{'useful_comment_density': 'useful_comment_density percentile: 3.9215686274509802(+0.0392156862745098)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 49.01960784313726(+0.5098039215686274)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 76.47058823529412(+0.23529411764705885)', 'propagation_cost': 'propagation_cost percentile: 7.8431372549019605(+0.9215686274509803)', 'core_size': 'core_size percentile: 35.294117647058826(+0.6470588235294117)'}","TOPIC ['notebook', 'fan-control', 'linux', 'windows', 'dotnet', 'mono']",51
518,"['dotnet', 'command-line', 'dotnet-core']",natemcmaster/CommandLineUtils,8573,30,Core-Periphery,True,25.4,27.5,28.061999999999998,2.6,32.3,0.34993584509506587,2.6,0.44,0.64,1.52,"{'useful_comment_density': 'useful_comment_density percentile: 64.0(+0.64)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 44.0(+0.56)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 4.0(+0.96)', 'propagation_cost': 'propagation_cost percentile: 76.0(+0.24)', 'core_size': 'core_size percentile: 80.0(+0.2)'}","TOPIC ['dotnet', 'command-line', 'dotnet-core']",25
468,"['docx', 'office', 'microsoft-word', 'c-sharp']",xceedsoftware/DocX,9989,327,Core-Periphery,True,45.0,45.0,55.443999999999996,13.3,51.1,3.2736009610571632,1.48,0.05,0.85,0.58,"{'useful_comment_density': 'useful_comment_density percentile: 84.82758620689656(+0.8482758620689655)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 97.93103448275862(+0.020689655172413807)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 44.13793103448276(+0.5586206896551724)', 'propagation_cost': 'propagation_cost percentile: 98.62068965517241(+0.013793103448275872)', 'core_size': 'core_size percentile: 96.55172413793103(+0.03448275862068968)'}",LOC,145
480,"['xamarin', 'dotnet', 'android', 'ios', 'uwp', 'cross-platform', 'essentials-xamarin']",xamarin/Essentials,14660,4731,Hierarchical,False,1.9,54.4,2.275,0.3,32.9,32.27148703956344,3.11,1.62,0.56,0.93,"{'useful_comment_density': 'useful_comment_density percentile: 55.88235294117647(+0.5588235294117647)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 7.352941176470588(+0.926470588235294)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 100.0(+0.0)', 'propagation_cost': 'propagation_cost percentile: 5.882352941176471(+0.9411764705882354)', 'core_size': 'core_size percentile: 32.35294117647059(+0.6764705882352942)'}","TOPIC ['xamarin', 'dotnet', 'android', 'ios', 'uwp', 'cross-platform', 'essentials-xamarin']",34
445,[],itext/itextsharp,196112,13183,Core-Periphery,True,9.4,16.6,18.848,5.6,28.6,6.722179162927307,2.49,0.63,0.6,1.26,"{'useful_comment_density': 'useful_comment_density percentile: 60.46511627906977(+0.6046511627906976)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 39.53488372093023(+0.6046511627906976)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 34.883720930232556(+0.6511627906976745)', 'propagation_cost': 'propagation_cost percentile: 81.3953488372093(+0.18604651162790703)', 'core_size': 'core_size percentile: 55.81395348837209(+0.4418604651162791)'}",LOC,43
500,"['c-sharp', 'roslyn', 'editor', 'netstandard', 'avalonia', 'cross-platform']",aelij/RoslynPad,13877,506,Hierarchical,False,1.9,28.4,2.802,3.1,9.8,3.646321250990848,2.84,1.68,0.13,1.03,"{'useful_comment_density': 'useful_comment_density percentile: 13.291139240506329(+0.13291139240506328)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 52.21518987341772(+0.4778481012658228)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 44.936708860759495(+0.550632911392405)', 'propagation_cost': 'propagation_cost percentile: 6.329113924050633(+0.9367088607594937)', 'core_size': 'core_size percentile: 25.949367088607595(+0.740506329113924)'}",LOC,158
449,[],castleproject/Core,22750,1228,Hierarchical,False,2.2,40.5,3.79,2.3,24.0,5.397802197802197,3.32,1.61,0.57,1.14,"{'useful_comment_density': 'useful_comment_density percentile: 57.291666666666664(+0.5729166666666666)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 30.729166666666668(+0.6927083333333333)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 55.208333333333336(+0.44791666666666663)', 'propagation_cost': 'propagation_cost percentile: 13.541666666666666(+0.8645833333333333)', 'core_size': 'core_size percentile: 25.78125(+0.7421875)'}",LOC,192
481,[],wixtoolset/wix3,115302,6589,Core-Periphery,True,8.2,20.8,7.063,7.9,37.3,5.7145582904025956,2.92,1.1,0.79,1.03,"{'useful_comment_density': 'useful_comment_density percentile: 78.87323943661971(+0.7887323943661971)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 76.05633802816901(+0.2394366197183099)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 21.12676056338028(+0.7887323943661971)', 'propagation_cost': 'propagation_cost percentile: 39.436619718309856(+0.6056338028169015)', 'core_size': 'core_size percentile: 50.70422535211268(+0.4929577464788732)'}",LOC,71
475,"['yaml', 'serialization', 'dotnet', 'parser']",aaubry/YamlDotNet,11305,384,Multi-Core,False,5.5,28.9,10.444,3.6,34.4,3.3967271118973907,2.26,0.85,0.63,0.78,"{'useful_comment_density': 'useful_comment_density percentile: 62.96296296296296(+0.6296296296296297)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 74.07407407407408(+0.25925925925925924)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 48.148148148148145(+0.5185185185185186)', 'propagation_cost': 'propagation_cost percentile: 51.851851851851855(+0.48148148148148145)', 'core_size': 'core_size percentile: 62.96296296296296(+0.3703703703703704)'}","TOPIC ['yaml', 'serialization', 'dotnet', 'parser']",27
