,topics,project_name,useful_lines_of_code_(uloc),duplicate_uloc,architecture_type,core,core_size,central_size,propagation_cost,percent_files_overly_complex,useful_comment_density,percent_duplicate_uloc,overall_score,architecture_score,clarity_score,complexity_score,explanation,benchmark_selection,benchmark_count
907,"['file-search', 'search-engine']",cboxdoerfer/fsearch,9321,182,Core-Periphery,True,31.9,36.2,36.260999999999996,12.8,4.5,1.9525801952580195,1.66,0.69,0.05,0.92,"{'useful_comment_density': 'useful_comment_density percentile: 4.587155963302752(+0.045871559633027525)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 88.9908256880734(+0.110091743119266)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 19.26605504587156(+0.8073394495412844)', 'propagation_cost': 'propagation_cost percentile: 64.22018348623853(+0.35779816513761475)', 'core_size': 'core_size percentile: 66.97247706422019(+0.33027522935779813)'}",LOC,109
908,[],openresty/redis2-nginx-module,1070,88,Core-Periphery,True,22.2,44.4,49.383,0.0,4.1,8.224299065420562,1.08,0.32,0.04,0.72,"{'useful_comment_density': 'useful_comment_density percentile: 4.0(+0.04)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 48.0(+0.52)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 80.0(+0.2)', 'propagation_cost': 'propagation_cost percentile: 88.0(+0.12)', 'core_size': 'core_size percentile: 80.0(+0.2)'}",NEAREST,25
909,[],xiehuc/pidgin-lwqq,4093,0,Core-Periphery,True,45.5,45.5,30.372,4.5,5.4,0.0,2.02,0.59,0.13,1.3,"{'useful_comment_density': 'useful_comment_density percentile: 12.903225806451612(+0.12903225806451613)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 62.365591397849464(+0.3763440860215054)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 7.526881720430108(+0.9247311827956989)', 'propagation_cost': 'propagation_cost percentile: 52.68817204301075(+0.4731182795698925)', 'core_size': 'core_size percentile: 88.17204301075269(+0.11827956989247312)'}",LOC,93
910,"['ans-tcp', 'dpdk', 'tcp-server', 'ans', 'fastpath', 'tcp', 'ip', 'sdn', 'nfv', 'cloud']",ansyun/dpdk-ans,2263,107,Core-Periphery,True,8.7,13.0,12.854000000000001,0.0,40.6,4.728236853733982,3.39,1.42,0.93,1.04,"{'useful_comment_density': 'useful_comment_density percentile: 92.95774647887323(+0.9295774647887324)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 30.985915492957748(+0.6901408450704225)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 64.78873239436619(+0.35211267605633806)', 'propagation_cost': 'propagation_cost percentile: 15.492957746478874(+0.8450704225352113)', 'core_size': 'core_size percentile: 42.95774647887324(+0.5704225352112676)'}",LOC,71
911,[],dynup/kpatch,5812,224,Core-Periphery,True,13.8,27.6,16.647000000000002,3.4,19.6,3.8540949759119063,2.94,1.3,0.54,1.1,"{'useful_comment_density': 'useful_comment_density percentile: 54.285714285714285(+0.5428571428571428)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 41.42857142857143(+0.5857142857142857)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 48.57142857142857(+0.5142857142857143)', 'propagation_cost': 'propagation_cost percentile: 22.857142857142858(+0.7714285714285714)', 'core_size': 'core_size percentile: 46.666666666666664(+0.5333333333333333)'}",LOC,105
913,"['objective-c', 'openstep', 'gnustep', 'windowmaker', 'nextstep', 'desktop-environment']",trunkmaster/nextspace,81604,2426,Core-Periphery,True,17.0,50.5,12.254000000000001,12.5,10.9,2.9728934856134503,2.72,1.4,0.1,1.22,"{'useful_comment_density': 'useful_comment_density percentile: 9.89010989010989(+0.09890109890109891)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 67.03296703296704(+0.3296703296703296)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 10.989010989010989(+0.8901098901098901)', 'propagation_cost': 'propagation_cost percentile: 28.571428571428573(+0.7142857142857143)', 'core_size': 'core_size percentile: 31.86813186813187(+0.6813186813186813)'}",LOC,91
914,[],tarcieri/cool.io,2989,26,Core-Periphery,True,26.1,56.5,28.166,0.0,33.1,0.8698561391769822,3.12,0.8,0.86,1.46,"{'useful_comment_density': 'useful_comment_density percentile: 85.71428571428571(+0.8571428571428571)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 22.61904761904762(+0.7738095238095238)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 30.952380952380953(+0.6904761904761905)', 'propagation_cost': 'propagation_cost percentile: 42.857142857142854(+0.5714285714285715)', 'core_size': 'core_size percentile: 77.38095238095238(+0.2261904761904762)'}",LOC,84
916,[],webmproject/libwebp,30333,5820,Core-Periphery,True,40.4,44.2,40.14,11.1,27.3,19.187024033231133,1.59,0.4,0.69,0.5,"{'useful_comment_density': 'useful_comment_density percentile: 69.29133858267717(+0.6929133858267718)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 67.71653543307086(+0.32283464566929143)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 82.67716535433071(+0.17322834645669288)', 'propagation_cost': 'propagation_cost percentile: 80.31496062992126(+0.1968503937007874)', 'core_size': 'core_size percentile: 79.5275590551181(+0.20472440944881895)'}",LOC,127
917,[],c9s/r3,11200,706,Core-Periphery,True,14.3,17.9,17.092,3.6,17.9,6.303571428571429,2.74,1.3,0.39,1.05,"{'useful_comment_density': 'useful_comment_density percentile: 38.73873873873874(+0.38738738738738737)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 34.234234234234236(+0.6576576576576576)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 60.36036036036036(+0.3963963963963964)', 'propagation_cost': 'propagation_cost percentile: 28.82882882882883(+0.7117117117117117)', 'core_size': 'core_size percentile: 41.44144144144144(+0.5855855855855856)'}",LOC,111
918,[],corosync/corosync,31668,1762,Core-Periphery,True,14.0,12.3,17.121,19.3,9.5,5.563976253631426,2.17,1.34,0.19,0.64,"{'useful_comment_density': 'useful_comment_density percentile: 18.503937007874015(+0.18503937007874016)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 92.91338582677166(+0.07086614173228341)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 43.30708661417323(+0.5669291338582677)', 'propagation_cost': 'propagation_cost percentile: 35.43307086614173(+0.6456692913385826)', 'core_size': 'core_size percentile: 30.708661417322833(+0.6929133858267718)'}",LOC,127
919,"['3ds', 'file-explorer', 'cia', 'ncch', 'sd-card', 'a9lh', 'nand', 'sysnand', 'god-mode']",d0k3/GodMode9,23325,114,Core-Periphery,True,26.9,27.9,27.843000000000004,5.5,28.4,0.4887459807073955,3.25,0.94,0.69,1.62,"{'useful_comment_density': 'useful_comment_density percentile: 69.35483870967742(+0.6935483870967742)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 38.306451612903224(+0.6169354838709677)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 0.0(+1.0)', 'propagation_cost': 'propagation_cost percentile: 50.806451612903224(+0.49193548387096775)', 'core_size': 'core_size percentile: 55.645161290322584(+0.4435483870967742)'}",LOC,124
920,"['ipp-protocol', 'printing', 'printer', 'snmp', 'ipp']",apple/cups,112150,8395,Core-Periphery,True,39.8,6.8,41.669,16.0,35.3,7.485510477039679,2.1,0.45,0.72,0.93,"{'useful_comment_density': 'useful_comment_density percentile: 71.5909090909091(+0.7159090909090909)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 77.27272727272727(+0.22727272727272735)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 29.545454545454547(+0.7045454545454546)', 'propagation_cost': 'propagation_cost percentile: 79.54545454545455(+0.20454545454545453)', 'core_size': 'core_size percentile: 75.0(+0.25)'}",LOC,88
922,"['multimedia', 'audio', 'video']",libav/libav,474847,21670,Borderline Core-Periphery,True,4.5,21.3,7.395,9.2,11.1,4.563575214753383,3.41,1.69,0.25,1.47,"{'useful_comment_density': 'useful_comment_density percentile: 25.0(+0.25)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 43.75(+0.5625)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 9.375(+0.90625)', 'propagation_cost': 'propagation_cost percentile: 21.875(+0.78125)', 'core_size': 'core_size percentile: 9.375(+0.90625)'}",LOC,32
924,"['dsp', 'sound', 'music', 'csound', 'faust', 'synthesis']",PaulBatchelor/Soundpipe,26920,3206,Hierarchical,False,0.8,58.0,1.666,0.2,8.2,11.909361069836551,3.38,1.97,0.15,1.26,"{'useful_comment_density': 'useful_comment_density percentile: 15.2(+0.152)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 1.6(+0.9840000000000001)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 72.0(+0.28)', 'propagation_cost': 'propagation_cost percentile: 1.6(+0.9840000000000001)', 'core_size': 'core_size percentile: 1.6(+0.9840000000000001)'}",LOC,125
925,[],karelzak/util-linux,95514,2097,Core-Periphery,True,23.4,16.2,25.239,15.8,18.1,2.195489666436334,2.51,1.03,0.34,1.14,"{'useful_comment_density': 'useful_comment_density percentile: 34.09090909090909(+0.34090909090909094)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 81.81818181818181(+0.18181818181818188)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 4.545454545454546(+0.9545454545454546)', 'propagation_cost': 'propagation_cost percentile: 52.27272727272727(+0.4772727272727273)', 'core_size': 'core_size percentile: 44.31818181818182(+0.5568181818181818)'}",LOC,88
929,[],s0lst1c3/eaphammer,155202,13669,Core-Periphery,True,42.6,47.7,42.001999999999995,21.0,16.7,8.807231865568744,1.39,0.41,0.21,0.77,"{'useful_comment_density': 'useful_comment_density percentile: 21.12676056338028(+0.2112676056338028)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 88.73239436619718(+0.11267605633802816)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 33.80281690140845(+0.6619718309859155)', 'propagation_cost': 'propagation_cost percentile: 81.69014084507042(+0.18309859154929584)', 'core_size': 'core_size percentile: 77.46478873239437(+0.22535211267605632)'}",LOC,71
930,[],GNOME/glib,332744,59105,Core-Periphery,True,32.8,32.8,41.443000000000005,23.0,28.9,17.762904815714183,1.67,0.62,0.74,0.31,"{'useful_comment_density': 'useful_comment_density percentile: 73.80952380952381(+0.7380952380952381)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 97.61904761904762(+0.023809523809523794)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 71.42857142857143(+0.2857142857142857)', 'propagation_cost': 'propagation_cost percentile: 73.80952380952381(+0.2619047619047619)', 'core_size': 'core_size percentile: 64.28571428571429(+0.3571428571428571)'}",LOC,42
